rank,finalWorth,category,personName,age,country,city,source,gender,title,population_country
276,7800,Fashion & Retail,Zhang Congyuan,75,Taiwan,Taoyuan,Shoes,M,,
276,7800,Manufacturing,Lin Shu-hong,94,Taiwan,Taipei,Petrochemicals,M,,
282,7700,Food & Beverage,Marie Besnier Beauvalot,42,France,Laval,Cheese,F,,67059887
282,7700,Technology,Robin Li,54,China,Beijing,Internet search,M,Founder and CEO,1397715000
282,7700,Food & Beverage,Jean-Michel Besnier,55,France,Laval,Cheese,M,,67059887
282,7700,Real Estate,Ivar Tollefsen,61,Norway,Oslo,Real estate,M,,5347896
282,7700,Technology,Henry Samueli,68,United States,Newport Beach,Semiconductors,M,"Cofounder, Chief Technology Officer and Chairman",328239523
282,7700,Healthcare,Reinhold Schmieding,68,United States,Naples,Medical devices,M,,328239523
282,7700,Service,Liu Yonghao & family,71,China,Chengdu,Agribusiness,M,,1397715000
282,7700,Media & Entertainment,David Geffen,80,United States,Beverly Hills,"Movies, record labels",M,Cofounder,328239523
290,7600,Technology,Joe Gebbia,41,United States,Austin,Airbnb,M,Cofounder & Chair of Airbnb.org,328239523
290,7600,Energy,Cao Renxian,54,China,Hefei,Photovoltaic equipment,M,,1397715000
290,7600,Technology,Joseph Tsai,59,Hong Kong,Hong Kong,E-commerce,M,,
290,7600,Healthcare,Zhong Huijuan,62,China,Shanghai,Pharmaceuticals,F,,1397715000
290,7600,Real Estate,Philip Ng,64,Singapore,Singapore,Real Estate,M,,5703569
290,7600,Manufacturing,John Reece,66,United Kingdom,London,Chemicals,M,,66834405
290,7600,Manufacturing,Andrew Currie,67,United Kingdom,London,Chemicals,M,,66834405
290,7600,Real Estate,Leonard Stern,85,United States,New York,Real estate,M,Chairman and CEO,328239523
290,7600,Healthcare,Hasmukh Chudgar & family,89,India,Ahmedabad,Pharmaceuticals,M,,1366417754
299,7500,Food & Beverage,Zhang Yong,52,Singapore,Singapore,Restaurants,M,,5703569
299,7500,Fashion & Retail,Ding Shijia,59,China,Quanzhou,Sports apparel,M,,1397715000
299,7500,Finance & Investments,"Paul Tudor Jones, II.",68,United States,Palm Beach,Hedge funds,M,Founder,328239523
299,7500,Finance & Investments,Henry Kravis,79,United States,New York,Private equity,M,Co-Chair and Co-CEO,328239523
299,7500,Sports,Arthur Blank,80,United States,Atlanta,Home Depot,M,Chairman,328239523
299,7500,Fashion & Retail,Charles Butt,85,United States,San Antonio,Supermarkets,M,,328239523
305,7400,Fashion & Retail,Ma Jianrong,59,China,Ningbo,"Textiles, apparel",M,,1397715000
305,7400,Construction & Engineering,Nassef Sawiris,62,Egypt,Cairo,"Construction, investments",M,,100388073
305,7400,Manufacturing,Sri Prakash Lohia,70,United Kingdom,London,Petrochemicals,M,,66834405
305,7400,Real Estate,Robert Ng,71,Singapore,Singapore,Real estate,M,,5703569
305,7400,Manufacturing,Steven Rales,72,United States,Santa Barbara,"Manufacturing, investments",M,Investor,328239523
305,7400,Technology,James Goodnight,80,United States,Cary,Software,M,CEO,328239523
305,7400,Food & Beverage,Harry Stine,81,United States,Adel,Agriculture,M,,328239523
312,7300,Fashion & Retail,Anders Holch Povlsen,50,Denmark,Aarhus,Fashion retail,M,,5818553
312,7300,Technology,Wang Laichun,55,China,Shenzhen,Electronics components,F,,1397715000
312,7300,Metals & Mining,Iskander Makhmudov,59,Russia,Moscow,"Mining, metals, machinery",M,,144373535
312,7300,Logistics,Enrique Razon Jr.,63,Philippines,Manila,Ports,M,,108116615
312,7300,Manufacturing,Benu Gopal Bangur,91,India,Kolkata,Cement,M,,1366417754
317,7200,Finance & Investments,Guillaume Pousaz,41,United Arab Emirates,Dubai,Fintech,M,,9770529
317,7200,Fashion & Retail,Takahisa Takahara,61,Japan,Tokyo,Personal care goods,M,,126226568
317,7200,Finance & Investments,Arthur Dantchik,65,United States,Gladwyne,"Trading, investments",M,,328239523
317,7200,Real Estate,Jeff Greene,68,United States,Palm Beach,"Real estate, investments",M,,328239523
317,7200,Technology,Terry Gou,72,Taiwan,Taipei,Electronics,M,CEO,
317,7200,Food & Beverage,Zong Qinghou,77,China,Hangzhou,Beverages,M,Chairman,1397715000
317,7200,Energy,Richard Kinder,78,United States,Houston,Pipelines,M,Chairman and CEO,328239523
317,7200,Finance & Investments,Don Hankey,79,United States,Malibu,Auto loans,M,Chairman,328239523
325,7100,Service,Tamara Gustavson,61,United States,Lexington,Self storage,F,,328239523
325,7100,Manufacturing,Liang Wengen,66,China,Changsha,Construction equipment,M,,1397715000
325,7100,Manufacturing,Zhang Hejun,71,China,Ningbo,Electronics,M,,1397715000
325,7100,Healthcare,Frederik Paulsen,72,Switzerland,Lausanne,Health care,M,,8574832
325,7100,Gambling & Casinos,Johann Graf,76,Austria,Vienna,Gambling,M,,8877067
325,7100,Technology,Judy Faulkner,79,United States,Madison,Healthcare software,F,Founder and CEO,328239523
325,7100,Finance & Investments,Wee Cho Yaw,94,Singapore,Singapore,Banking,M,,5703569
332,7000,Media & Entertainment,Dmitri Bukhman,37,United Kingdom,London,Online games,M,,66834405
332,7000,Media & Entertainment,Igor Bukhman,41,United Kingdom,London,Online games,M,,66834405
332,7000,Diversified,Rohiqa Cyrus Mistry,55,India,Mumbai,Diversified,F,,1366417754
332,7000,Technology,Marc Benioff,58,United States,San Francisco,Business software,M,Chairman and CEO,328239523
332,7000,Diversified,Shapoor Mistry,58,India,Mumbai,Diversified,M,,1366417754
332,7000,Food & Beverage,Jude Reyes,67,United States,Palm Beach,Food distribution,M,Co-Chairman,328239523
332,7000,Food & Beverage,J. Christopher Reyes,69,United States,Hobe Sound,Food distribution,M,Co-Chairman,328239523
332,7000,Food & Beverage,Don Vultaggio & family,71,United States,Port Washington,Beverages,M,,328239523
332,7000,Real Estate,Law Kar Po,74,Hong Kong,Hong Kong,Real estate,M,,
332,7000,Technology,Jack Dangermond,77,United States,Redlands,Mapping software,M,,328239523
332,7000,Manufacturing,Ashwin Dani & family,80,India,Mumbai,Paints,M,,1366417754
332,7000,Fashion & Retail,Ralph Lauren,83,United States,New York,Apparel,M,Chairman ,328239523
344,6900,Fashion & Retail,Sandra Ortega Mera,54,Spain,La Coruna,Zara,F,,47076781
344,6900,Finance & Investments,Philippe Laffont,55,United States,New York,Hedge fund,M,Founder,328239523
344,6900,Technology,Liu Jincheng & family,58,China,Huizhou,Lithium batteries,M,,1397715000
344,6900,Diversified,Alejandro Bailleres Gual & family,62,Mexico,,Diversified,M,,126014024
344,6900,Healthcare,Ronda Stryker,68,United States,Portage,Medical equipment,F,,328239523
344,6900,Real Estate,Igor Olenicoff,80,United States,Lighthouse Point,Real estate,M,,328239523
344,6900,Diversified,Edythe Broad & family,87,United States,Los Angeles,"Homebuilding, insurance",F,,328239523
344,6900,Food & Beverage,Pauline MacMillan Keinath,89,United States,St. Louis,Cargill,F,,328239523
352,6800,Energy,Scott Duncan,40,United States,Houston,Pipelines,M,,328239523
352,6800,Energy,Milane Frantz,53,United States,Houston,Pipelines,F,,328239523
352,6800,Finance & Investments,John Overdeck,53,United States,Millburn,Hedge funds,M,Investor,328239523
352,6800,Gambling & Casinos,Denise Coates,55,United Kingdom,Stoke-on-Trent,Online gambling,F,,66834405
352,6800,Finance & Investments,"Edward Johnson, IV.",58,United States,Boston,Fidelity,M,,328239523
352,6800,Technology,Wang Laisheng,58,China,Shenzhen,Electronics components,M,,1397715000
352,6800,Energy,Dannine Avara,59,United States,Houston,Pipelines,F,,328239523
352,6800,Finance & Investments,Yuri Milner,61,United States,Los Altos,Tech investments,M,Investor,328239523
